origen,destino,personas,tipo,nivel
020203,070101,73,nacimiento,municipio
020203,070102,2,nacimiento,municipio
020203,070104,7,nacimiento,municipio
020203,070201,6,nacimiento,municipio
020203,070502,1,nacimiento,municipio
020203,070603,1,nacimiento,municipio
020203,071001,1,nacimiento,municipio
020204,070101,82,nacimiento,municipio
020204,070102,6,nacimiento,municipio
020204,070103,2,nacimiento,municipio
020204,070104,3,nacimiento,municipio
020204,070105,1,nacimiento,municipio
020204,070201,11,nacimiento,municipio
020204,071001,7,nacimiento,municipio
020205,070101,26,nacimiento,municipio
020205,070102,1,nacimiento,municipio
020205,070103,1,nacimiento,municipio
020205,071001,2,nacimiento,municipio
020206,070101,37,nacimiento,municipio
020206,070102,1,nacimiento,municipio
020206,070103,1,nacimiento,municipio
020206,070104,5,nacimiento,municipio
020206,070105,1,nacimiento,municipio
020206,070201,7,nacimiento,municipio
020206,070502,1,nacimiento,municipio
020299,070101,771,nacimiento,provincia
020299,070102,26,nacimiento,provincia
020299,070103,5,nacimiento,provincia
020299,070104,74,nacimiento,provincia
020299,070105,5,nacimiento,provincia
020299,070201,87,nacimiento,provincia
020299,070502,7,nacimiento,provincia
020299,071001,25,nacimiento,provincia
020301,070101,233,nacimiento,municipio
020301,070102,12,nacimiento,municipio
020301,070103,1,nacimiento,municipio
020301,070104,24,nacimiento,municipio
020301,070105,3,nacimiento,municipio
020301,070201,19,nacimiento,municipio
020301,071001,3,nacimiento,municipio
020302,070101,72,nacimiento,municipio
020302,070102,5,nacimiento,municipio
020302,070103,1,nacimiento,municipio
020302,070104,4,nacimiento,municipio
020302,070201,12,nacimiento,municipio
020302,071001,3,nacimiento,municipio
020303,070101,89,nacimiento,municipio
020303,070102,4,nacimiento,municipio
020303,070103,2,nacimiento,municipio
020303,070104,7,nacimiento,municipio
020303,070105,2,nacimiento,municipio
020303,070201,16,nacimiento,municipio
020304,070101,42,nacimiento,municipio
020304,070104,4,nacimiento,municipio
020304,070201,4,nacimiento,municipio
020304,070502,1,nacimiento,municipio
020304,071001,2,nacimiento,municipio
020305,070101,11,nacimiento,municipio
020305,070104,5,nacimiento,municipio
020305,070105,1,nacimiento,municipio
020305,070201,3,nacimiento,municipio
020305,070502,1,nacimiento,municipio
020305,071001,1,nacimiento,municipio
020306,070101,15,nacimiento,municipio
020306,070102,1,nacimiento,municipio
020306,070104,8,nacimiento,municipio
020306,071001,1,nacimiento,municipio
020307,070101,7,nacimiento,municipio
020307,070102,2,nacimiento,municipio
020307,070201,2,nacimiento,municipio
020308,070101,45,nacimiento,municipio
020308,070104,6,nacimiento,municipio
020308,070201,8,nacimiento,municipio
020308,071001,5,nacimiento,municipio
020399,070101,659,nacimiento,provincia
020399,070102,29,nacimiento,provincia
020399,070103,5,nacimiento,provincia
020399,070104,59,nacimiento,provincia
020399,070105,5,nacimiento,provincia
020399,070201,97,nacimiento,provincia
020399,070502,1,nacimiento,provincia
020399,071001,15,nacimiento,provincia
020401,070101,136,nacimiento,municipio
020401,070102,4,nacimiento,municipio
020401,070104,17,nacimiento,municipio
020401,070105,2,nacimiento,municipio
020401,070201,24,nacimiento,municipio
020401,070502,2,nacimiento,municipio
020401,071001,2,nacimiento,municipio
020402,070101,102,nacimiento,municipio
020402,070102,4,nacimiento,municipio
020402,070104,16,nacimiento,municipio
020402,070105,2,nacimiento,municipio
020402,070201,18,nacimiento,municipio
020402,070502,1,nacimiento,municipio
020402,071001,7,nacimiento,municipio
020403,070101,142,nacimiento,municipio
020403,070102,4,nacimiento,municipio
020403,070103,1,nacimiento,municipio
020403,070104,6,nacimiento,municipio
020403,070201,17,nacimiento,municipio
020403,071001,4,nacimiento,municipio
020404,070101,16,nacimiento,municipio
020404,070104,2,nacimiento,municipio
020404,070201,2,nacimiento,municipio
020404,071001,1,nacimiento,municipio
020405,070101,66,nacimiento,municipio
020405,070104,7,nacimiento,municipio
020405,070201,8,nacimiento,municipio
020405,070502,2,nacimiento,municipio
020405,071001,4,nacimiento,municipio
020499,070101,586,nacimiento,provincia
020499,070102,23,nacimiento,provincia
020499,070103,5,nacimiento,provincia
020499,070104,52,nacimiento,provincia
020499,070105,2,nacimiento,provincia
020499,070201,65,nacimiento,provincia
020499,070502,5,nacimiento,provincia
020499,071001,10,nacimiento,provincia
020501,070101,65,nacimiento,municipio
020501,070102,4,nacimiento,municipio
020501,070103,1,nacimiento,municipio
020501,070104,9,nacimiento,municipio
020501,070201,8,nacimiento,municipio
020501,071001,2,nacimiento,municipio
020502,070101,25,nacimiento,municipio
020502,070102,1,nacimiento,municipio
020502,070104,4,nacimiento,municipio
020502,070201,9,nacimiento,municipio
020502,071001,2,nacimiento,municipio
020503,070101,16,nacimiento,municipio
020503,070102,7,nacimiento,municipio
020503,070104,1,nacimiento,municipio
020503,070201,3,nacimiento,municipio
020503,071001,1,nacimiento,municipio
020599,070101,183,nacimiento,provincia
020599,070102,7,nacimiento,provincia
020599,070104,16,nacimiento,provincia
020599,070105,1,nacimiento,provincia
020599,070201,20,nacimiento,provincia
020599,070502,1,nacimiento,provincia
020599,071001,7,nacimiento,provincia
020601,070101,267,nacimiento,municipio
020601,070102,6,nacimiento,municipio
020601,070103,1,nacimiento,municipio
020601,070104,33,nacimiento,municipio
020601,070105,1,nacimiento,municipio
020601,070201,37,nacimiento,municipio
020601,070502,4,nacimiento,municipio
020601,071001,6,nacimiento,municipio
020602,070101,241,nacimiento,municipio
020602,070102,12,nacimiento,municipio
020602,070104,8,nacimiento,municipio
020602,070105,3,nacimiento,municipio
020602,070201,20,nacimiento,municipio
020602,070502,2,nacimiento,municipio
020602,070603,2,nacimiento,municipio
020602,071001,8,nacimiento,municipio
020603,070101,33,nacimiento,municipio
020603,070102,1,nacimiento,municipio
020603,070104,2,nacimiento,municipio
020603,070105,1,nacimiento,municipio
020603,070201,5,nacimiento,municipio
020603,071001,1,nacimiento,municipio
020604,070101,13,nacimiento,municipio
020604,070102,1,nacimiento,municipio
020604,070104,2,nacimiento,municipio
020604,070201,2,nacimiento,municipio
020604,071001,1,nacimiento,municipio
020605,070101,16,nacimiento,municipio
020605,070105,1,nacimiento,municipio
020605,070201,2,nacimiento,municipio
020606,070101,183,nacimiento,municipio
020606,070102,4,nacimiento,municipio
020606,070103,2,nacimiento,municipio
020606,070104,10,nacimiento,municipio
020606,070105,3,nacimiento,municipio
020606,070201,17,nacimiento,municipio
020606,070502,1,nacimiento,municipio
020606,071001,14,nacimiento,municipio
020607,070101,131,nacimiento,municipio
020607,070102,11,nacimiento,municipio
020607,070103,1,nacimiento,municipio
020607,070104,17,nacimiento,municipio
020607,070105,2,nacimiento,municipio
020607,070201,18,nacimiento,municipio
020607,071001,10,nacimiento,municipio
020608,070101,112,nacimiento,municipio
020608,070102,5,nacimiento,municipio
020608,070103,1,nacimiento,municipio
020608,070104,7,nacimiento,municipio
020608,070105,2,nacimiento,municipio
020608,070201,15,nacimiento,municipio
020608,070502,1,nacimiento,municipio
020608,070603,2,nacimiento,municipio
020608,071001,2,nacimiento,municipio
020699,070101,578,nacimiento,provincia
020699,070102,27,nacimiento,provincia
020699,070103,1,nacimiento,provincia
020699,070104,70,nacimiento,provincia
020699,070105,5,nacimiento,provincia
020699,070201,65,nacimiento,provincia
020699,070502,3,nacimiento,provincia
020699,071001,32,nacimiento,provincia
020701,070101,388,nacimiento,municipio
020701,070102,13,nacimiento,municipio
020701,070103,2,nacimiento,municipio
020701,070104,38,nacimiento,municipio
020701,070105,4,nacimiento,municipio
020701,070201,40,nacimiento,municipio
020701,070502,10,nacimiento,municipio
020701,071001,28,nacimiento,municipio
020702,070101,16,nacimiento,municipio
020702,070104,1,nacimiento,municipio
020702,070201,1,nacimiento,municipio
020799,070101,255,nacimiento,provincia
020799,070102,7,nacimiento,provincia
020799,070103,2,nacimiento,provincia
020799,070104,9,nacimiento,provincia
020799,070105,1,nacimiento,provincia
020799,070201,24,nacimiento,provincia
020799,070502,2,nacimiento,provincia
020799,071001,5,nacimiento,provincia
020801,070101,521,nacimiento,municipio
020801,070102,28,nacimiento,municipio
020801,070103,2,nacimiento,municipio
020801,070104,70,nacimiento,municipio
020801,070105,2,nacimiento,municipio
020801,070201,99,nacimiento,municipio
020801,070502,3,nacimiento,municipio
020801,070603,1,nacimiento,municipio
020801,071001,19,nacimiento,municipio
020802,070101,107,nacimiento,municipio
020802,070102,1,nacimiento,municipio
020802,070104,12,nacimiento,municipio
020802,070105,1,nacimiento,municipio
020802,070201,5,nacimiento,municipio
020802,070502,1,nacimiento,municipio
020802,071001,3,nacimiento,municipio
020803,070101,89,nacimiento,municipio
020803,070102,5,nacimiento,municipio
020803,070103,1,nacimiento,municipio
020803,070104,11,nacimiento,municipio
020803,070105,1,nacimiento,municipio
020803,070201,8,nacimiento,municipio
020803,070502,2,nacimiento,municipio
020803,071001,3,nacimiento,municipio
020804,070101,41,nacimiento,municipio
020804,070102,1,nacimiento,municipio
020804,070104,2,nacimiento,municipio
020804,070201,7,nacimiento,municipio
020804,071001,5,nacimiento,municipio
020805,070101,20,nacimiento,municipio
020805,070102,1,nacimiento,municipio
020805,070104,2,nacimiento,municipio
020805,070201,2,nacimiento,municipio
020805,070502,1,nacimiento,municipio
020806,070101,74,nacimiento,municipio
020806,070102,1,nacimiento,municipio
020806,070104,8,nacimiento,municipio
020806,070105,3,nacimiento,municipio
020806,070201,11,nacimiento,municipio
020806,071001,3,nacimiento,municipio
020807,070101,26,nacimiento,municipio
020807,070102,1,nacimiento,municipio
020807,070104,4,nacimiento,municipio
020807,070201,5,nacimiento,municipio
020807,071001,1,nacimiento,municipio
020899,070101,660,nacimiento,provincia
020899,070102,26,nacimiento,provincia
020899,070103,2,nacimiento,provincia
020899,070104,41,nacimiento,provincia
020899,070105,6,nacimiento,provincia
020899,070201,82,nacimiento,provincia
020899,070502,5,nacimiento,provincia
020899,071001,18,nacimiento,provincia
020901,070101,192,nacimiento,municipio
020901,070102,4,nacimiento,municipio
020901,070103,2,nacimiento,municipio
020901,070104,15,nacimiento,municipio
020901,070105,5,nacimiento,municipio
020901,070201,22,nacimiento,municipio
020901,070502,1,nacimiento,municipio
020901,071001,2,nacimiento,municipio
020902,070101,143,nacimiento,municipio
020902,070102,11,nacimiento,municipio
020902,070103,1,nacimiento,municipio
020902,070104,11,nacimiento,municipio
020902,070201,23,nacimiento,municipio
020902,071001,4,nacimiento,municipio
020903,070101,45,nacimiento,municipio
020903,070102,3,nacimiento,municipio
020903,070104,8,nacimiento,municipio
020903,070201,9,nacimiento,municipio
020903,071001,8,nacimiento,municipio
020904,070101,28,nacimiento,municipio
020904,070104,2,nacimiento,municipio
020904,070105,3,nacimiento,municipio
020904,070201,2,nacimiento,municipio
020905,070101,50,nacimiento,municipio
020905,070102,1,nacimiento,municipio
020905,070104,13,nacimiento,municipio
020905,070105,1,nacimiento,municipio
020905,070201,4,nacimiento,municipio
020905,070502,2,nacimiento,municipio
020905,071001,4,nacimiento,municipio
020999,070101,428,nacimiento,provincia
020999,070102,24,nacimiento,provincia
020999,070103,3,nacimiento,provincia
020999,070104,28,nacimiento,provincia
020999,070105,2,nacimiento,provincia
020999,070201,67,nacimiento,provincia
020999,070502,2,nacimiento,provincia
020999,071001,18,nacimiento,provincia
021001,070101,1406,nacimiento,municipio
021001,070102,69,nacimiento,municipio
021001,070103,2,nacimiento,municipio
021001,070104,114,nacimiento,municipio
021001,070105,27,nacimiento,municipio
021001,070201,208,nacimiento,municipio
021001,070502,19,nacimiento,municipio
021001,071001,83,nacimiento,municipio
021002,070101,191,nacimiento,municipio
021002,070102,13,nacimiento,municipio
021002,070104,15,nacimiento,municipio
021002,070105,1,nacimiento,municipio
021002,070201,37,nacimiento,municipio
021002,070502,1,nacimiento,municipio
021002,071001,4,nacimiento,municipio
021003,070101,82,nacimiento,municipio
021003,070102,6,nacimiento,municipio
021003,070104,11,nacimiento,municipio
021003,070105,2,nacimiento,municipio
021003,070201,15,nacimiento,municipio
